Авто;Марка;Модель;Номер;Год;Цвет;Кузов;Двигатель;Мощность;Топливо;Бак;Расход;Категория;Мест;Дверей;Кондиционер;Салон;Крыша;Стеклоподъемники;Подушки;Сторона руля;Круиз;Камера ЗВ;Парктроник;Радио;CD;MP3;USB;AUX;Bluetooth;Дата ТО;Сутки;Залог;Мин возраст;Мин стаж;Страховка;Договор Страх;Кутаиси;Тбилиси;Батуми;ЦРМ;РУ сайт;АНГ сайт;VIN;Партнер;Свидетельство;Коробка;Привод
Buick Encore HW816HW;Buick;Encore;HW816HW;2018;Белый;crossover;1,4;153;Benzin;53;8,4;b;5;4;Кондиционер;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;10.07.2027;12;100;21;1;47;AUT 0000-47144;https://partner.localrent.com/cars/54690/edit/;https://partner.localrent.com/cars/51905/edit/;https://partner.localrent.com/cars/54724/edit/;https://web.rentprog.ru/cars/38147;https://geodrive.info/geotbilisi/tproduct/734711274011;https://en.geodrive.info/geotbilisi/tproduct/731423358811;KL4CJESB4KB788000;;AJA2238458;Автомат;Полный;
Buick Encore PM279MM;Buick;Encore;PM279MM;2016;Белый;crossover;1,4;153;Benzin;53;8,4;b;5;4;Кондиционер;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Есть;Есть;Есть;Есть;Есть;Есть;Есть;05.12.2025;12;100;21;1;44,69;AUT 0000-58369;https://partner.localrent.com/cars/51909/edit/;https://partner.localrent.com/cars/54679/edit/;https://partner.localrent.com/cars/54710/edit/;https://web.rentprog.ru/cars/38204;https://geodrive.info/geotbilisi/tproduct/350853785981;https://en.geodrive.info/geotbilisi/tproduct/678385318801;KL4CJESB4HB034264;;AJA2236729;Автомат;Полный;
BMW 328i UQ165QQ;BMW;328i;UQ165QQ;2014;Красный;sedan;2;184;Benzin;60;5,9;b;5;4;Кондиционер;Кожа;Люк;4;6;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;13.08.2026;16;100;21;1;41,25;AUT 0000-57895;https://partner.localrent.com/cars/51461/edit/;https://partner.localrent.com/cars/54673/edit/;https://partner.localrent.com/cars/54660/edit/;https://web.rentprog.ru/cars/37470;https://geodrive.info/geotbilisi/tproduct/647803366151;https://en.geodrive.info/geotbilisi/tproduct/606838917701;WBA3A5C5XFF607508;;AJA2137619;Автомат;Задний;
Chevrolet Cruze LT QQ726LQ;Chevrolet;Cruze LT;QQ726LQ;2016;Красный;sedan;1,4;155;Benzin;51;7,3;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Нет;Есть;Есть;Есть;10.07.2026;10;100;21;0;39,2;AUT 0000-58308;https://partner.localrent.com/cars/51671/edit/;https://partner.localrent.com/cars/53627/edit/;https://partner.localrent.com/cars/54715/edit/;https://web.rentprog.ru/cars/37591;https://geodrive.info/geotbilisi/tproduct/203435781091;https://en.geodrive.info/geotbilisi/tproduct/877972763611;1G1BE5SM6H7199882;;AJ3541398;Автомат;Передний;
Ford Fiesta JG722GJ;Ford;Fiesta;JG722GJ;2016;Серый;sedan;1,6;105;Benzin;40;5,9;b;5;4;Кондиционер;Ткань;Люк;4;6;left_wheel;Нет;Нет;Нет;Есть;Нет;Есть;Есть;Есть;Нет;10.04.2026;9;100;21;1;46,9;AUT 0000-49916;https://partner.localrent.com/cars/52229/edit/;https://partner.localrent.com/cars/51912/edit/;https://partner.localrent.com/cars/54662/edit/;https://web.rentprog.ru/cars/37469;https://geodrive.info/geotbilisi/tproduct/690897373231;https://en.geodrive.info/geotbilisi/tproduct/753690999101;3FADP4BJ4GM185807;;AJA1661519;Автомат;Передний;
Ford Fiesta SE BB542QB;Ford;Fiesta SE;BB542QB;2015;Серый;hatchback;1,6;105;Benzin;40;5,9;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Нет;Нет;Нет;Есть;Нет;Есть;Есть;Есть;Нет;10.09.2026;9;100;21;1;34,4;AUT 0000-57482;https://partner.localrent.com/cars/54684/edit/;https://partner.localrent.com/cars/51274/edit/;https://partner.localrent.com/cars/54718/edit/;https://web.rentprog.ru/cars/37389;https://geodrive.info/geotbilisi/tproduct/753309187351;https://en.geodrive.info/geotbilisi/tproduct/974919743311;3FADP4EJ4FM208237;;AJA1961801;Автомат;Передний;
Honda Fit LL393DL ;Honda;Fit;LL393DL ;2014;Серебряный;hatchback;1,5;130;Benzin;40;6,5;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Нет;Есть;Есть;Есть;Нет;Нет;Есть;Есть;Есть;24.09.2026;9;100;21;0;37,8;AUT 0000-58307;https://partner.localrent.com/cars/51652/edit/;https://partner.localrent.com/cars/54674/edit/;https://partner.localrent.com/cars/54704/edit/;https://web.rentprog.ru/cars/37471;https://geodrive.info/geotbilisi/tproduct/866994012101;https://en.geodrive.info/geotbilisi/tproduct/561346718821;3HGGK5H88FM746087;;AJ3560785;Автомат;Передний;
Hyundai Tucson EE377EI;Hyundai;Tucson;EE377EI;2016;Черный;crossover;1,6;177;Benzin;62;7,5;b;5;4;Кондиционер;Ткань;Обычная;4;6;left_wheel;Есть;Есть;Нет;Есть;Нет;Есть;Есть;Есть;Есть;20.03.2026;16;100;21;0;65,29;AUT 0000-58370;https://partner.localrent.com/cars/54693/edit/;https://partner.localrent.com/cars/51992/edit/;https://partner.localrent.com/cars/54726/edit/;https://web.rentprog.ru/cars/38203;https://geodrive.info/geotbilisi/tproduct/840495947171;https://en.geodrive.info/geotbilisi/tproduct/162802512501;KM8J3CA21HU386635;;AJA2235685;Автомат;Полный;
Hyundai Veloster II179IE;Hyundai;Veloster;II179IE;2016;Желтый;hatchback;1,6;132;Benzin;50;8;b;4;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;13.11.2025;10;100;21;2;36,49;AUT 0000-58372;https://partner.localrent.com/cars/54692/edit/;https://partner.localrent.com/cars/51983/edit/;https://partner.localrent.com/cars/54725/edit/;https://web.rentprog.ru/cars/38202;https://geodrive.info/geotbilisi/tproduct/104965697021;https://en.geodrive.info/geotbilisi/tproduct/738576732431;KMHTC6AD7HU306265;;AJA2238764;Автомат;Передний;
Hyundai Veloster MM423QM;Hyundai;Veloster;MM423QM;2014;Оранжевый;hatchback;1,6;132;Benzin;50;8;b;5;2;Кондиционер;Кожа;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;26.06.2026;10;100;21;2;31;AUT 0000-58077;https://partner.localrent.com/cars/51457/edit/;https://partner.localrent.com/cars/54672/edit/;https://partner.localrent.com/cars/54700/edit/;https://web.rentprog.ru/cars/37468;https://geodrive.info/geotbilisi/tproduct/648834619171;https://en.geodrive.info/geotbilisi/tproduct/101410235651;KMHTC6AD5FU223172;;AJA0317005;Автомат;Передний;
Kia Soul AH270HA ;Kia;Soul;AH270HA ;2014;Синий;hatchback;1,6;132;Benzin;54;7;b;5;4;Климат 1-зонный;Кожа;Обычная;4;4;left_wheel;Есть;Есть;Есть;Есть;Нет;Есть;Есть;Есть;Есть;08.09.2026;11;100;21;0;41,25;AUT 0000-55345;https://partner.localrent.com/cars/54681/edit/;https://partner.localrent.com/cars/49946/edit/;https://partner.localrent.com/cars/54716/edit/;https://web.rentprog.ru/cars/37379;https://geodrive.info/geotbilisi/tproduct/480943571011;https://en.geodrive.info/geotbilisi/tproduct/422043886761;KNAJP811BF7162909;;AQA0187215;Автомат;Передний;
Kia Soul ON475NN ;Kia;Soul;ON475NN ;2013;Белый;hatchback;1,6;124;Benzin;54;6,9;b;5;4;Кондиционер;Ткань;Обычная;4;4;left_wheel;Нет;Нет;Нет;Есть;Нет;Есть;Есть;Есть;Есть;03.09.2026;10;100;21;2;41,25;AUT 0000-57897;https://partner.localrent.com/cars/51251/edit/;https://partner.localrent.com/cars/53623/edit/;https://partner.localrent.com/cars/54663/edit/;https://web.rentprog.ru/cars/37434;https://geodrive.info/geotbilisi/tproduct/740156811691;https://en.geodrive.info/geotbilisi/tproduct/617702352891;KNDJN2A24E7037956;;AJA2132606;Автомат;Передний;
Kia Soul XX202JJ ;Kia;Soul;XX202JJ ;2014;Черный;hatchback;1,6;132;Benzin;54;7;b;5;4;Климат 1-зонный;Кожа;Обычная;4;6;left_wheel;Есть;Есть;Есть;Есть;Есть;Есть;Есть;Есть;Есть;24.08.2026;11;100;21;0;41,25;AUT 0000-57485;https://partner.localrent.com/cars/52198/edit/;https://partner.localrent.com/cars/51265/edit/;https://partner.localrent.com/cars/54695/edit/;https://web.rentprog.ru/cars/37387;https://geodrive.info/geotbilisi/tproduct/413991060751;https://en.geodrive.info/geotbilisi/tproduct/372427904161;KNAJP811BF7092297;;AQA0244872;Автомат;Передний;
